,State Name,county Name,County Code,Date,AQI,Category,Defining Parameter,Number of Sites Reporting,Year,Month,Day,Month_Day,Five-Year Avg.
51,Alabama,DeKalb,49,2020-02-06,25,Good,Ozone,1,2020,2,6,02-06,42.630434782608695
52,Alabama,DeKalb,49,2020-02-07,31,Good,Ozone,1,2020,2,7,02-07,40.044444444444444
53,Alabama,DeKalb,49,2020-02-08,34,Good,Ozone,1,2020,2,8,02-08,40.38297872340426
54,Alabama,DeKalb,49,2020-02-09,35,Good,Ozone,1,2020,2,9,02-09,38.48936170212766
55,Alabama,DeKalb,49,2020-02-10,24,Good,Ozone,1,2020,2,10,02-10,42.422222222222224
56,Alabama,DeKalb,49,2020-02-11,23,Good,Ozone,1,2020,2,11,02-11,45.416666666666664
57,Alabama,DeKalb,49,2020-02-12,30,Good,Ozone,1,2020,2,12,02-12,42.170212765957444
58,Alabama,DeKalb,49,2020-02-13,31,Good,Ozone,1,2020,2,13,02-13,41.13333333333333
59,Alabama,DeKalb,49,2020-02-14,32,Good,Ozone,1,2020,2,14,02-14,41.666666666666664
60,Alabama,DeKalb,49,2020-02-15,37,Good,Ozone,1,2020,2,15,02-15,39.276595744680854
61,Alabama,DeKalb,49,2020-02-16,40,Good,Ozone,1,2020,2,16,02-16,39.44444444444444
62,Alabama,DeKalb,49,2020-02-17,24,Good,Ozone,1,2020,2,17,02-17,38.375
63,Alabama,DeKalb,49,2020-02-18,27,Good,Ozone,1,2020,2,18,02-18,39.4468085106383
64,Alabama,DeKalb,49,2020-02-19,27,Good,Ozone,1,2020,2,19,02-19,37.674418604651166
65,Alabama,DeKalb,49,2020-02-20,31,Good,Ozone,1,2020,2,20,02-20,38.51063829787234
66,Alabama,DeKalb,49,2020-02-21,37,Good,Ozone,1,2020,2,21,02-21,38.354166666666664
67,Alabama,DeKalb,49,2020-02-22,42,Good,Ozone,1,2020,2,22,02-22,39.8936170212766
68,Alabama,DeKalb,49,2020-02-23,37,Good,Ozone,1,2020,2,23,02-23,39.10204081632653
69,Alabama,DeKalb,49,2020-02-24,29,Good,Ozone,1,2020,2,24,02-24,36.285714285714285
70,Alabama,DeKalb,49,2020-02-25,30,Good,Ozone,1,2020,2,25,02-25,36.0
71,Alabama,DeKalb,49,2020-02-26,33,Good,Ozone,1,2020,2,26,02-26,36.42857142857143
72,Alabama,DeKalb,49,2020-02-27,36,Good,Ozone,1,2020,2,27,02-27,40.59574468085106
73,Alabama,DeKalb,49,2020-02-28,37,Good,Ozone,1,2020,2,28,02-28,39.977777777777774
74,Alabama,DeKalb,49,2020-02-29,39,Good,Ozone,1,2020,2,29,02-29,36.25
75,Alabama,Etowah,55,2020-01-01,28,Good,PM2.5,1,2020,1,1,01-01,37.08
76,Alabama,Etowah,55,2020-01-04,15,Good,PM2.5,1,2020,1,4,01-04,33.22
77,Alabama,Etowah,55,2020-01-07,17,Good,PM2.5,1,2020,1,7,01-07,35.8
78,Alabama,Etowah,55,2020-01-10,30,Good,PM2.5,1,2020,1,10,01-10,33.61224489795919
79,Alabama,Etowah,55,2020-01-13,22,Good,PM2.5,1,2020,1,13,01-13,35.470588235294116
80,Alabama,Etowah,55,2020-01-16,15,Good,PM2.5,1,2020,1,16,01-16,38.0
81,Alabama,Etowah,55,2020-01-28,29,Good,PM2.5,1,2020,1,28,01-28,38.78431372549019
82,Alabama,Etowah,55,2020-01-31,40,Good,PM2.5,1,2020,1,31,01-31,35.86538461538461
83,Alabama,Jefferson,73,2020-01-01,31,Good,Ozone,4,2020,1,1,01-01,42.05555555555556
84,Alabama,Jefferson,73,2020-01-02,33,Good,PM2.5,4,2020,1,2,01-02,34.27777777777778
85,Alabama,Jefferson,73,2020-01-03,31,Good,Ozone,4,2020,1,3,01-03,34.583333333333336
86,Alabama,Jefferson,73,2020-01-04,35,Good,Ozone,4,2020,1,4,01-04,35.69444444444444
87,Alabama,Jefferson,73,2020-01-05,32,Good,NO2,4,2020,1,5,01-05,35.72222222222222
88,Alabama,Jefferson,73,2020-01-06,39,Good,PM2.5,4,2020,1,6,01-06,37.970588235294116
89,Alabama,Jefferson,73,2020-01-07,57,Moderate,PM10,4,2020,1,7,01-07,38.02857142857143
90,Alabama,Jefferson,73,2020-01-08,54,Moderate,PM2.5,4,2020,1,8,01-08,35.0
91,Alabama,Jefferson,73,2020-01-09,56,Moderate,PM2.5,4,2020,1,9,01-09,37.30555555555556
92,Alabama,Jefferson,73,2020-01-10,44,Good,PM2.5,4,2020,1,10,01-10,35.333333333333336
93,Alabama,Jefferson,73,2020-01-11,31,Good,Ozone,4,2020,1,11,01-11,35.55555555555556
94,Alabama,Jefferson,73,2020-01-12,29,Good,NO2,4,2020,1,12,01-12,38.5
95,Alabama,Jefferson,73,2020-01-13,43,Good,PM2.5,4,2020,1,13,01-13,38.111111111111114
96,Alabama,Jefferson,73,2020-01-14,30,Good,NO2,4,2020,1,14,01-14,37.72222222222222
97,Alabama,Jefferson,73,2020-01-15,35,Good,PM2.5,4,2020,1,15,01-15,39.75
98,Alabama,Jefferson,73,2020-01-16,31,Good,Ozone,4,2020,1,16,01-16,38.5
99,Alabama,Jefferson,73,2020-01-17,34,Good,Ozone,4,2020,1,17,01-17,36.861111111111114
100,Alabama,Jefferson,73,2020-01-18,33,Good,Ozone,4,2020,1,18,01-18,35.72222222222222
101,Alabama,Jefferson,73,2020-01-19,37,Good,Ozone,4,2020,1,19,01-19,37.083333333333336
102,Alabama,Jefferson,73,2020-01-20,39,Good,PM2.5,4,2020,1,20,01-20,37.05555555555556
103,Alabama,Jefferson,73,2020-01-21,36,Good,PM2.5,4,2020,1,21,01-21,37.05555555555556
104,Alabama,Jefferson,73,2020-01-22,40,Good,NO2,4,2020,1,22,01-22,36.72222222222222
105,Alabama,Jefferson,73,2020-01-23,33,Good,PM2.5,4,2020,1,23,01-23,32.05555555555556
106,Alabama,Jefferson,73,2020-01-24,33,Good,PM10,4,2020,1,24,01-24,38.611111111111114
107,Alabama,Jefferson,73,2020-01-25,26,Good,Ozone,4,2020,1,25,01-25,37.75
108,Alabama,Jefferson,73,2020-01-26,54,Moderate,PM2.5,4,2020,1,26,01-26,38.888888888888886
109,Alabama,Jefferson,73,2020-01-27,35,Good,NO2,4,2020,1,27,01-27,36.72222222222222
110,Alabama,Jefferson,73,2020-01-28,63,Moderate,PM2.5,4,2020,1,28,01-28,37.833333333333336
111,Alabama,Jefferson,73,2020-01-29,39,Good,PM2.5,4,2020,1,29,01-29,42.19444444444444
112,Alabama,Jefferson,73,2020-01-30,54,Moderate,PM2.5,4,2020,1,30,01-30,38.833333333333336
113,Alabama,Jefferson,73,2020-01-31,48,Good,PM2.5,3,2020,1,31,01-31,41.833333333333336
114,Alabama,Jefferson,73,2020-02-01,5,Good,CO,2,2020,2,1,02-01,41.73529411764706
115,Alabama,Mobile,97,2020-01-01,54,Moderate,PM2.5,1,2020,1,1,01-01,29.735294117647058
116,Alabama,Mobile,97,2020-01-02,31,Good,PM2.5,1,2020,1,2,01-02,33.666666666666664
117,Alabama,Mobile,97,2020-01-03,10,Good,PM2.5,1,2020,1,3,01-03,27.970588235294116
118,Alabama,Mobile,97,2020-01-04,17,Good,PM2.5,1,2020,1,4,01-04,29.558823529411764
119,Alabama,Mobile,97,2020-01-05,24,Good,PM2.5,1,2020,1,5,01-05,31.03030303030303
120,Alabama,Mobile,97,2020-01-06,36,Good,PM2.5,1,2020,1,6,01-06,30.735294117647058
121,Alabama,Mobile,97,2020-01-07,19,Good,PM2.5,1,2020,1,7,01-07,31.205882352941178
122,Alabama,Mobile,97,2020-01-08,42,Good,PM2.5,1,2020,1,8,01-08,31.727272727272727
123,Alabama,Mobile,97,2020-01-09,51,Moderate,PM2.5,1,2020,1,9,01-09,25.575757575757574
124,Alabama,Mobile,97,2020-01-10,37,Good,PM2.5,1,2020,1,10,01-10,28.818181818181817
125,Alabama,Mobile,97,2020-01-11,34,Good,PM2.5,1,2020,1,11,01-11,30.71875
126,Alabama,Mobile,97,2020-01-12,23,Good,PM2.5,1,2020,1,12,01-12,28.545454545454547
127,Alabama,Mobile,97,2020-01-13,44,Good,PM2.5,1,2020,1,13,01-13,26.636363636363637
128,Alabama,Mobile,97,2020-01-14,14,Good,PM2.5,1,2020,1,14,01-14,34.06060606060606
129,Alabama,Mobile,97,2020-01-15,26,Good,PM2.5,1,2020,1,15,01-15,35.588235294117645
130,Alabama,Mobile,97,2020-01-16,23,Good,PM2.5,1,2020,1,16,01-16,32.35294117647059
131,Alabama,Mobile,97,2020-01-17,27,Good,PM2.5,1,2020,1,17,01-17,33.42424242424242
132,Alabama,Mobile,97,2020-01-18,28,Good,PM2.5,1,2020,1,18,01-18,30.176470588235293
